date,open,close,low,high,avgGas
2022-04-23,25.67,27.09,16.21,84.2,99471.595006
2022-04-22,38.47,45.0,26.68,2001.0,87784.24934799998
2022-04-21,47.12,81.43,28.4,222.38,90464.92850800004
2022-04-20,94.3,49.3,28.48,542.36,89417.917929
2022-04-19,42.3,22.14,18.0,100.32,91105.21378000002
2022-04-18,31.62,41.6,14.0,114.55,93587.60262899999
2022-04-17,34.9,20.0,12.72,72.57,102344.26122499998
2022-04-16,15.34,32.32,11.79,49.49,99147.16755100002
2022-04-15,34.45,46.8,20.0,124.69,100060.02115200002
2022-04-14,39.65,43.6,20.86,128.98,97421.911832
2022-04-13,36.61,65.23,21.46,91.29,98828.95197499997
2022-04-12,63.95,41.67,23.22,96.32,92030.21407199999
2022-04-11,40.58,43.47,15.0,132.13,95480.01545600001
2022-04-10,24.46,43.78,15.0,92.59,92302.05874600002
2022-04-09,34.45,36.15,19.0,82.94,93417.91431399998
2022-04-08,36.11,83.3,27.0,137.19,96512.14931600001
2022-04-07,115.36,34.89,29.28,2600.0,94951.82570399996
2022-04-06,49.85,54.17,29.73,104.86,89585.81006499998
2022-04-05,143.18,48.75,35.0,3396.05,93308.36126199999
2022-04-04,54.63,76.17,27.94,131.29,90643.307372
2022-04-03,53.82,40.7,25.17,951.98,97971.96235799998
2022-04-02,38.84,70.47,28.72,97.71,95599.74938399998
2022-04-01,50.6,44.33,26.24,212.93,88828.61974299999
2022-03-31,70.23,48.8,22.85,119.04,88741.16149400001
2022-03-30,38.16,36.92,21.15,200.95,88062.55074099997
2022-03-29,43.3,43.43,18.5,162.33,85787.48083299998
2022-03-28,55.01,42.38,18.81,2002.0,86019.96008799998
2022-03-27,32.43,52.97,13.0,296.83,95469.29583400003
2022-03-26,102.21,39.79,16.38,658.69,108735.13735900003
2022-03-25,37.9,32.19,18.84,198.22,91193.97401900004
2022-03-24,42.44,55.46,16.52,122.5,105808.22610500004
2022-03-23,75.99,34.54,12.29,706.0,94992.370915
2022-03-22,38.65,38.41,14.6,112.74,91776.87418000001
2022-03-21,52.89,22.94,13.08,120.0,89850.877301
2022-03-20,35.01,19.51,10.0,67.88,107968.217543
2022-03-19,25.83,49.18,11.83,67.34,99273.610779
2022-03-18,47.42,65.21,23.42,3556.0,85622.60411199999
2022-03-17,82.05,33.67,15.0,355.83,87988.40411900003
2022-03-16,74.35,33.64,15.78,200.0,86871.25481800002
2022-03-15,46.0,32.05,10.0,145.33,86782.74284600001
2022-03-14,26.96,27.9,10.0,82.4,92849.44238299997
2022-03-13,32.29,31.88,10.0,5000.0,104553.26604000002
2022-03-12,23.65,65.88,10.0,96.47,99538.051233
2022-03-11,17.64,43.27,13.63,71.99,94753.34872500002
2022-03-10,31.89,34.87,15.0,100.0,87817.01163200001
2022-03-09,22.78,35.0,16.1,139.83,90354.41419499999
2022-03-08,41.83,42.0,16.1,93.79,94420.70118700001
2022-03-07,39.86,68.69,16.1,97.28,95021.846265
2022-03-06,40.11,27.26,15.52,579.95,98894.51733199999
2022-03-05,43.67,62.53,16.0,86.08,97542.27046099998
2022-03-04,59.03,26.16,20.0,158.02,94894.86390000001
2022-03-03,39.16,49.08,21.52,96.26,99354.03023899994
2022-03-02,37.13,31.04,22.0,133.6,90547.66105600003
2022-03-01,47.86,74.15,24.3,128.99,90762.91295900001
2022-02-28,110.65,53.45,23.27,526.71,97249.25581000002
2022-02-27,64.68,36.91,19.0,1112.0,94146.76158100003
2022-02-26,42.13,58.73,19.63,392.01,91434.255397
2022-02-25,66.66,64.93,24.74,594.29,96067.00342300002
2022-02-24,67.44,61.96,32.98,325.76,90816.55037499998
2022-02-23,84.22,62.7,27.65,297.5,93658.56387400001
2022-02-22,77.0,91.25,29.39,221.91,95793.65964000001
2022-02-21,95.65,106.91,30.54,211.92,105202.81179299999
2022-02-20,75.73,150.78,27.95,236.44,79997.50729399998
2022-02-19,58.41,88.06,31.26,170.28,88952.89931800001
2022-02-18,83.48,100.46,33.77,249.46,84660.85061899999
2022-02-17,56.22,76.42,26.0,559.7,92326.09537800003
2022-02-16,63.53,106.23,35.0,1210.0,88688.68422899996
2022-02-15,162.15,40.54,26.0,1333.0,92507.88393099999
2022-02-14,67.42,61.5,25.27,199.74,94386.383085
2022-02-13,39.38,49.37,25.0,108.65,105188.071558
2022-02-12,58.24,69.95,26.0,290.9,98218.02855299998
2022-02-11,59.69,89.31,32.02,157.86,97845.100556
2022-02-10,104.22,70.72,34.3,2000.0,86030.17135500003
2022-02-09,86.15,62.62,36.78,348.69,89220.88323300002
2022-02-08,114.0,90.74,40.03,502.0,88388.567371
2022-02-07,107.28,79.07,43.8,313.38,88232.29731999997
2022-02-06,114.36,63.55,33.8,153.59,95239.73991899999
2022-02-05,65.59,88.84,35.0,151.72,82020.392154
2022-02-04,95.69,118.4,43.92,402.53,92964.60027699999
2022-02-03,119.91,89.76,48.22,457.28,95269.347119
2022-02-02,134.26,273.34,52.75,569.73,87455.65565000003
2022-02-01,185.8,159.03,57.3,708.32,87019.342761
2022-01-31,154.15,110.45,48.38,249.58,140192.79476599992
2022-01-30,95.79,68.88,52.41,557.15,91321.06248900006
2022-01-29,91.77,127.2,58.81,387.0,95956.30204100003
2022-01-28,156.74,152.6,62.68,306.06,90934.35133799998
2022-01-27,185.35,124.4,59.84,451.77,90827.71323200002
2022-01-26,136.38,94.65,61.51,353.53,90081.02601299994
2022-01-25,153.46,206.61,55.0,372.6,88865.20517499998
2022-01-24,1464.81,124.42,59.64,1555.0,89251.829778
2022-01-23,744.66,110.14,58.13,744.66,103107.14854900002
2022-01-22,90.0,213.69,81.99,353.25,91478.54247899998
2022-01-21,301.98,193.21,71.69,529.4,87233.51149299998
2022-01-20,228.47,101.69,56.78,899.13,88946.794541
2022-01-19,110.91,106.15,58.51,449.59,84556.09487099998
2022-01-18,120.67,87.95,61.29,315.67,88366.07029999998
2022-01-17,122.54,146.95,66.59,620.99,86739.50428
2022-01-16,173.18,132.28,71.32,308.23,88428.15306100003
2022-01-15,139.6,131.06,76.05,2445.0,88574.79320900002
2022-01-14,145.1,356.75,90.0,628.12,87551.31339899998
2022-01-13,470.74,135.31,83.2,649.71,83846.94578400003
2022-01-12,140.72,189.21,92.66,1111.11,82759.93372499998
2022-01-11,170.44,127.8,94.27,629.44,83346.10941500001
2022-01-10,189.25,132.5,75.63,425.77,85252.93909399996
2022-01-09,186.0,91.4,55.7,1500.0,93539.71928199999
2022-01-08,107.74,85.12,50.0,374.81,91298.13376299999
2022-01-07,124.37,223.42,68.31,324.43,88857.06324899996
2022-01-06,206.13,156.86,72.23,531.76,86917.78254299998
2022-01-05,170.7,116.52,65.03,419.92,82732.34999
2022-01-04,121.27,145.42,57.69,484.33,88119.39417599999
2022-01-03,136.99,150.7,51.0,221.39,88690.78934700003
2022-01-02,77.31,74.91,47.88,501.72,91695.035369
2022-01-01,92.13,67.05,40.0,318.12,88917.16171599999
2021-12-31,86.2,130.5,54.36,204.16,84196.66697600001
2021-12-30,138.0,115.92,66.82,201.25,84100.49042399999
2021-12-29,185.41,154.15,58.12,231.3,85001.10511699998
2021-12-28,108.71,85.34,39.72,330.73,84723.04148500001
2021-12-27,97.86,72.81,35.77,355.13,82628.40321599998
2021-12-26,52.2,56.97,31.87,128.35,86729.57429699998
2021-12-25,48.93,70.84,38.55,139.0,78665.18055799998
2021-12-24,59.37,100.38,32.72,238.77,81447.08760099999
2021-12-23,83.75,60.83,42.79,180.71,83293.88851799999
2021-12-22,80.0,73.21,25.0,145.33,123629.68050800002
2021-12-21,91.15,68.66,31.0,148.22,89714.20984899998
2021-12-20,75.65,45.0,28.53,777.0,93546.29743799998
2021-12-19,91.27,55.17,26.0,969.0,98493.67421200004
2021-12-18,61.87,122.44,32.77,153.45,90305.63726900001
2021-12-17,68.02,68.69,36.22,931.43,84223.31379100001
2021-12-16,83.61,82.66,36.42,293.68,99841.00919900001
2021-12-15,53.5,114.75,35.55,214.03,87312.88909300003
2021-12-14,128.36,100.05,36.9,137.09,95459.175428
2021-12-13,83.63,67.77,30.28,801.0,85501.828851
2021-12-12,64.96,56.26,30.66,469.43,89354.07477499999
2021-12-11,79.61,91.91,34.0,336.3,89201.43105200004
2021-12-10,120.61,72.54,40.0,1384.0,92655.362374
2021-12-09,64.41,81.1,45.37,144.62,83438.920005
2021-12-08,84.86,80.99,46.59,151.68,85196.40423900001
2021-12-07,105.39,85.1,53.51,348.42,98265.21781399999
2021-12-06,84.7,96.51,58.93,361.64,83555.83737200001
2021-12-05,92.68,98.14,54.08,706.0,76703.31228900001
2021-12-04,104.1,109.77,62.22,792.76,80605.38068500001
2021-12-03,101.25,69.03,60.0,273.0,85011.49848800004
2021-12-02,72.94,110.86,61.86,903.79,80874.18422599997
2021-12-01,107.65,147.82,79.0,316.62,81636.591978
2021-11-30,163.03,130.96,68.12,1667.48,83254.699321
2021-11-29,133.68,105.23,57.97,400.66,81686.59139399999
2021-11-28,152.5,100.81,52.0,276.7,88579.62344099999
2021-11-27,117.37,84.47,55.32,401.48,85477.18796
2021-11-26,90.22,84.7,64.36,255.22,77654.06755300002
2021-11-25,112.62,142.84,67.81,246.06,78379.57610700002
2021-11-24,117.66,86.49,71.64,212.71,79718.43315499999
2021-11-23,118.0,158.84,67.51,331.34,81710.43272599998
2021-11-22,162.48,117.03,72.38,416.44,93890.13743799996
2021-11-21,133.96,83.2,57.74,246.4,81680.15556600004
2021-11-20,96.84,104.96,61.01,170.5,85741.68713600001
2021-11-19,120.59,124.51,68.4,219.99,83095.737769
2021-11-18,90.34,106.46,69.54,295.78,81290.01601400005
2021-11-17,121.0,128.89,71.16,323.79,79918.04376300004
2021-11-16,133.05,114.53,71.65,776.4,78871.64916499995
2021-11-15,134.78,104.38,68.79,522.19,79240.66974000003
2021-11-14,140.17,110.23,62.74,245.56,80537.656997
2021-11-13,111.26,118.87,72.64,444.18,79607.862745
2021-11-12,130.12,133.34,84.07,208.28,90224.561037
