date,open,close,low,high,avgGas
2019-05-16,10.0,17.0,1.0,33.1,71089.46370400004
2019-05-15,15.0,10.0,1.0,25.0,75528.80965700002
2019-05-14,25.0,9.0,1.0,25.0,67841.69378799999
2019-05-13,9.0,11.0,0.35000000000000003,20.0,67174.529031
2019-05-12,2.0,4.0,0.17,30.0,71842.84509399999
2019-05-11,4.0,1.0,1.0,30.0,63548.374208000016
2019-05-10,4.0,4.0,0.2,30.0,132691.780746
2019-05-09,2.0,6.0,0.32,35.0,72177.55830900003
2019-05-08,6.0,19.75,0.4,23.0,96174.74935099996
2019-05-07,0.7000000000000001,7.0,0.7000000000000001,23.1,100226.88608700004
2019-05-06,5.51,5.5,0.19,10.0,91357.284822
2019-05-05,4.5,2.0,0.1,33.45,70763.48217300001
2019-05-04,6.0,1.0,0.21,34.5,70478.20136599998
2019-05-03,2.0,3.0,0.23,40.0,76692.61050499999
2019-05-02,4.0,1.0,0.0,30.0,128544.555995
2019-05-01,2.0,4.0,0.24,20.0,78885.69165
2019-04-30,4.0,10.0,0.25,23.1,80977.14132700003
2019-04-29,4.0,4.0,0.26,23.1,82486.16270099998
2019-04-28,4.5,3.0,0.28,20.0,91465.10542299999
2019-04-27,7.1,1.0,0.31,90.0,73577.79759599999
2019-04-26,3.6,12.0,0.1,20.0,70783.49798300002
2019-04-25,4.5,9.0,0.11,30.0,88724.34354100002
2019-04-24,0.7000000000000001,8.0,0.17,20.0,90348.55244899998
2019-04-23,6.01,4.13,1.0,20.0,92213.78175199998
2019-04-22,3.0,1.0,0.0,20.0,96021.85585200001
2019-04-21,3.0,2.0,1.0,13.8,81124.44610899998
2019-04-20,3.0,20.0,0.12,21.1,80427.43980000001
2019-04-19,6.21,1.4100000000000001,0.12,20.0,80296.09112300002
2019-04-18,2.0,4.0,0.5,20.0,87680.09759299998
2019-04-17,6.0,3.0,0.11,25.0,130637.65571700009
2019-04-16,3.0,2.0,0.2,20.0,104089.83408300007
2019-04-15,4.0,1.0,0.12,35.0,95363.28570700006
2019-04-14,5.0,2.0,0.15,55.1,100782.67793200006
2019-04-13,5.1,20.0,0.11,21.0,90579.42632500001
2019-04-12,7.0,3.0,0.24,20.0,89625.72287
2019-04-11,3.8,3.93,0.26,21.0,77246.995331
2019-04-10,3.0,10.0,0.4,27.12,82204.841496
2019-04-09,8.0,4.0,0.2,30.0,77498.23194700002
2019-04-08,2.0,2.0,0.17,23.0,94314.86299099997
2019-04-07,1.0,1.0,0.30000000000000004,38.38,78216.73259300001
2019-04-06,2.0,2.0,0.13,23.0,93355.924072
2019-04-05,4.0,6.0,0.30000000000000004,30.0,75139.69948099999
2019-04-04,14.0,5.0,0.1,21.0,99302.16126899997
2019-04-03,10.35,7.1,1.0,30.0,84890.345271
2019-04-02,5.5600000000000005,7.1,1.0,30.0,73735.45522100003
2019-04-01,8.0,16.0,0.5,36.5,90476.80974900002
2019-03-31,4.0,4.0,1.0,17.0,84758.17674300002
2019-03-30,1.2,8.0,0.6000000000000001,20.0,87563.93955899999
2019-03-29,2.0,3.6,0.16,40.0,86787.39500200002
2019-03-28,5.0,1.0,0.12,30.0,87801.25707900003
2019-03-27,9.0,9.6,0.25,30.0,106365.90668099998
2019-03-26,8.0,2.0,0.31,30.0,107245.47408699997
2019-03-25,10.0,2.0,0.5,58.66,75142.786701
2019-03-24,3.75,0.5,0.5,30.0,98812.64497599997
2019-03-23,2.0,2.0,0.2,22.0,97979.20950400003
2019-03-22,4.0,4.5,0.47000000000000003,30.0,122653.77410100002
2019-03-21,4.8,2.6,0.2,20.0,108238.87046799995
2019-03-20,7.0,2.0,0.5,20.0,108642.68719600003
2019-03-19,30.0,2.0,0.8,40.0,100855.224853
2019-03-18,3.0,5.0,0.30000000000000004,25.0,128102.225928
2019-03-17,0.30000000000000004,4.0,0.18,40.0,99166.84488699997
2019-03-16,4.0,6.2,0.4,41.0,119183.018477
2019-03-15,3.0,1.0,0.6000000000000001,40.0,103074.45525799996
2019-03-14,2.0,2.0,0.28,76.0,105622.70811000005
2019-03-13,4.0,2.0,0.23,30.0,135872.50301499994
2019-03-12,2.0,5.0,0.5,30.0,102438.24849300006
2019-03-11,2.4,7.59,0.11,30.0,106143.43819999999
2019-03-10,2.0,5.0,0.42,30.0,112077.695605
2019-03-09,6.0,5.0,0.21,20.0,124583.27751400007
2019-03-08,7.0,7.0,0.5,40.0,116903.229239
2019-03-07,10.0,7.0,0.15,30.0,81397.24080600002
2019-03-06,7.0,3.0,1.0,30.0,88648.161134
2019-03-05,6.0,2.2,0.8,20.0,91852.66052499997
2019-03-04,2.0,5.95,1.0,30.0,95971.05968999997
2019-03-03,5.0,4.0,1.0,21.0,93192.55705399998
2019-03-02,4.0,1.0,0.73,20.81,112110.57347200005
2019-03-01,6.6,8.0,1.0,30.0,122566.17676599998
2019-02-28,9.2,20.04,1.0,22.0,84629.08312999998
2019-02-27,10.0,5.0,1.0,30.0,86684.49231300002
2019-02-26,1.0,10.0,1.0,30.0,67531.55290800001
2019-02-25,7.0,5.0,1.0,35.0,63618.46579999998
2019-02-24,9.2,8.8,1.0,60.0,68849.96462299996
2019-02-23,2.0,5.3,1.0,41.0,84005.69046400001
2019-02-22,3.0,0.11,0.11,40.0,78390.94467499999
2019-02-21,9.0,25.84,1.0,30.0,70500.341996
2019-02-20,27.0,5.0,1.0,40.0,76178.77319599998
2019-02-19,5.83,10.0,1.0,42.0,69571.54454800002
2019-02-18,2.0,2.88,1.0,31.5,72743.45848699998
2019-02-17,10.0,8.0,1.0,30.0,78301.72023900002
2019-02-16,11.0,1.54,1.0,26.29,88646.67487700003
2019-02-15,20.0,12.0,1.0,25.0,77725.315076
2019-02-14,1.0,3.0,1.0,45.75,67711.160917
2019-02-13,7.0,10.0,1.0,41.0,78162.41410900002
2019-02-12,8.0,5.0,1.0,27.46,68899.02106399999
2019-02-11,3.81,5.1,0.5,58.4,78439.73818499997
2019-02-10,4.0,6.0,1.0,40.0,82687.663901
2019-02-09,6.0,5.0,0.6000000000000001,50.0,106083.10642000003
2019-02-08,1.15,5.0,1.0,40.0,94624.41449800001
2019-02-07,4.0,1.0,1.0,40.0,99651.93398900003
2019-02-06,6.0,1.1,0.66,40.0,106681.28996999994
2019-02-05,6.0,2.4,1.0,30.3,80437.79237100002
2019-02-04,21.0,7.0,0.6000000000000001,25.0,97904.358975
2019-02-03,9.0,2.0,0.51,50.0,84655.75097900002
2019-02-02,5.0,4.0,1.0,51.9,74362.01083600003
2019-02-01,6.0,3.0,1.0,30.0,90758.23263300002
2019-01-31,4.0,4.0,1.0,35.0,89045.81144700001
2019-01-30,3.0,5.0,1.0,59.0,80006.43395299999
2019-01-29,4.0,30.0,1.0,30.0,64540.72217200001
2019-01-28,4.0,9.0,1.0,40.0,101777.15827399999
2019-01-27,5.0,1.8,1.0,30.0,85034.14528499998
2019-01-26,5.0,7.0,1.0,30.0,91168.95147799999
2019-01-25,1.88,5.0,1.0,25.0,92985.10453700002
2019-01-24,3.0,7.0,1.0,27.0,81049.35781099998
