Date,Open,High,Low,Close,Volume,Personal Saving %,Close/Last,open,close,low,high,avgGas,nlikes,nretweets,compound,neg,neu,pos
2020-12-30,731.472839,754.303223,720.988892,751.618958,17294574210,14.0,3732.04,47.15,74.0,1.0,205.0,76337.16007700000,5.75163161711385,1.3611312545322700,0.2158972443799860,0.0239434372733865,0.8807469180565630,0.0953154459753444
2020-12-29,730.358704,737.952881,692.149414,731.520142,18710683199,14.0,3727.04,68.31,68.2,9.0,178.0,72782.38045900000,5.482190453113640,1.0159922461836700,0.1810975284710440,0.0293835716016476,0.8838032469105890,0.086814877635086
2020-12-28,683.205811,745.877747,683.205811,730.397339,24222565862,14.0,3735.36,55.0,45.0,9.0,153.0,69025.67083600000,6.617657466383580,1.0884642604387800,0.1592427282377920,0.0356618895966029,0.876452229299363,0.0878858811040339
2020-12-24,584.13562,613.815186,568.596375,611.607178,14317413703,14.0,3703.06,40.0,34.7,1.0,202.0,76968.81652900000,5.7941933112826200,1.0532892319000400,0.197436236677692,0.0301459022418228,0.8752859242925400,0.0945597206909224
2020-12-23,634.824585,637.122803,560.364258,583.7146,15261413038,14.0,3690.01,33.0,88.0,1.0,579.0,71480.326482,6.123096446700510,1.3448604060913700,0.2032251269035530,0.0325190355329949,0.8714971446700510,0.0959857233502538
2020-12-22,609.420532,635.076599,589.552002,634.854187,14745890080,14.0,3687.26,81.0,33.0,30.1,168.0,66093.80810700000,5.724483775811210,1.0179941002949900,0.187157610619469,0.0316353982300885,0.87697197640118,0.0913958702064896
2020-12-21,638.315186,646.846558,600.83606,609.817871,14419493621,14.0,3694.92,34.1,38.0,1.0,119.0,74874.98072800000,7.765741728922090,1.7604055496264700,0.2125528014941300,0.0273489861259338,0.8752993596584850,0.0973521878335112
2020-12-17,636.154175,673.834229,628.74939,642.868958,25479532147,14.0,3722.48,36.0,135.0,0.25,135.0,79303.03093100000,7.101159420289860,0.8446376811594200,0.2771341159420290,0.0240165217391304,0.8743533333333330,0.1016272463768120
2020-12-15,586.02179,596.247742,580.628784,589.355591,9326645840,14.0,3694.62,30.0,73.0,1.0,210.0,66876.14234000000,5.75353388909025,1.130119608553820,0.2641971003986950,0.0212047843421529,0.8682874229793400,0.1105085175788330
2020-12-14,589.782471,590.492981,577.118408,586.011169,8125837102,14.0,3647.49,67.0,70.0,1.0,126.0,71521.71193100000,7.781352593565330,1.6076822061720300,0.2244338148391330,0.0234537097833223,0.884865725541694,0.0916789231779382
2020-12-10,573.504028,574.600159,549.784058,559.678528,11672582040,14.0,3668.1,41.0,39.0,1.0,106.0,76191.25388700000,5.751383763837640,1.1577490774907700,0.1982117619926200,0.0232938191881918,0.8907001845018450,0.0860092250922509
2020-12-08,591.900818,594.751587,552.469238,554.827759,14398919320,14.0,3702.25,37.2,98.8,1.0,104.0,71825.139175,6.686253561253560,1.2183048433048400,0.2350571581196580,0.0195619658119658,0.8856926638176640,0.0947421652421652
2020-12-07,601.797119,602.917908,585.42865,591.843384,10720480962,14.0,3691.96,112.0,32.0,1.0,112.0,75064.545008,4.854419410745230,1.0150202195262900,0.236389456961294,0.0193645291738879,0.8862677642980940,0.0943651068746389
