date,Day of Year,id,nlikes,nretweets,compound,neg,neu,pos
2020-01-01,1.0,1.212581988139699e+18,3.5084745762711864,0.8559322033898306,0.0970529661016949,0.03244491525423729,0.9054491525423729,0.062110169491525424
2020-01-02,2.0,1.2127822613086057e+18,4.18521284540702,0.8435399551904407,0.10158237490664675,0.05267811799850635,0.8725642270351007,0.0747554144884242
2020-01-03,3.0,1.213146346501778e+18,2.815929203539823,0.7013274336283186,0.10551973451327434,0.03913849557522124,0.8928300884955752,0.06802787610619469
2020-01-04,4.0,1.213515548588314e+18,2.9786917740336967,0.7284440039643211,0.08691808721506442,0.04998860257680872,0.8809935579781962,0.0690222993062438
2020-01-05,5.0,1.2138819281871665e+18,2.9926301243666513,1.0796867802855827,0.1042787194841087,0.04583924458774758,0.8861082450483648,0.06804836480884385
2020-01-06,6.0,1.2142388043156268e+18,3.3485576923076925,0.8545673076923077,0.12431794871794871,0.034910256410256406,0.8942199519230769,0.0708709935897436
2020-01-07,7.0,1.2145985982645985e+18,3.2039281236941077,0.9063936481404096,0.14101278729628083,0.03188132051817802,0.8950781445883828,0.07303719180944421
2020-01-08,8.0,1.2149595730119414e+18,3.5295797633618933,1.1603427172582619,0.1516832721338229,0.032390044879640964,0.8872378620971032,0.08037086903304774
2020-01-09,9.0,1.2153241579925276e+18,3.3182135380321003,0.8450802512212142,0.14399511514305652,0.029559316120027913,0.8961399162595952,0.07430774598743894
2020-01-10,10.0,1.2156808695975447e+18,4.5772421967601735,1.122481232714342,0.15698281311734494,0.028156459897273802,0.8930426708810747,0.07879691821414461
2020-01-11,11.0,1.216048147115674e+18,2.5491118077324972,0.6363636363636364,0.17144900731452453,0.022528735632183907,0.9008317659352142,0.07664367816091953
2020-01-12,12.0,1.2164097130436685e+18,2.36131544785807,0.6845521419299004,0.19912007788836,0.027520553872782346,0.8791440934660321,0.09333838165296408
2020-01-13,13.0,1.2167719915227766e+18,3.7395048439181915,0.9235737351991389,0.1536173304628633,0.032829207032651596,0.8891858629350556,0.07798780050233226
2020-01-14,14.0,1.2170985851146483e+18,3.8021438142027693,0.9316659222867352,0.1510730236712818,0.026928539526574362,0.8974747655203216,0.0755940151853506
2020-01-16,16.0,1.2179270376134185e+18,3.8389674247080516,0.8254456054087277,0.17524652735095267,0.022742470805162878,0.9003724646588813,0.07688875230485556
2020-01-17,17.0,1.2182115186786035e+18,3.1190568225744104,1.0931580981832238,0.16420421337456512,0.021039427908774642,0.90737611132586,0.07158059528411287
2020-01-18,18.0,1.218551659732074e+18,3.121853546910755,0.7448512585812357,0.1659774599542334,0.02355320366132723,0.9008564073226544,0.0755886727688787
2020-01-20,20.0,1.2194558540436923e+18,2.231329690346084,0.692167577413479,0.16907049180327868,0.018746812386156646,0.9148251366120218,0.06642440801457195
2020-01-21,21.0,1.2196688893205046e+18,3.3894331700489855,0.8978306508047585,0.18574706088173548,0.019199440167949614,0.9059198740377887,0.07488488453463961
2020-01-22,22.0,1.2200329510940513e+18,2.9902488231338267,0.7679892400806994,0.17657370544720916,0.02185743106926698,0.89932246133154,0.07881909885675857
2020-01-23,23.0,1.2203535840500536e+18,2.58165548098434,0.6451901565995526,0.16827780760626398,0.022395525727069352,0.9034796420581656,0.07412348993288591
2020-01-25,25.0,1.2211397151587325e+18,3.391788856304985,0.7120234604105572,0.18894879765395894,0.025685630498533722,0.8912234604105572,0.08308797653958944
2020-01-26,26.0,1.2214948562721119e+18,2.1233836206896552,0.5226293103448276,0.1880610452586207,0.021998383620689656,0.8998054956896552,0.0782009698275862
2020-01-27,27.0,1.2218479400678257e+18,3.8921196797302993,1.2498946481247366,0.17592393594605985,0.020930046354825118,0.9007446270543616,0.07832111251580277
2020-01-28,28.0,1.2221824348298243e+18,4.5670675300647545,1.1540240518038853,0.1763086031452359,0.023454671600370028,0.8929962997224792,0.08354301572617946
2020-01-30,30.0,1.222943485374303e+18,3.156794425087108,0.9659310878823074,0.17675698799845144,0.02844250871080139,0.8862032520325204,0.08535540069686412
2020-01-31,31.0,1.2232567657721208e+18,3.248272884283247,1.0626079447322971,0.1829465889464594,0.027494386873920553,0.887451640759931,0.08505008635578584
2020-02-02,33.0,1.2240327725684995e+18,4.694960212201591,0.9544650751547303,0.16959314765694078,0.02845092838196286,0.8910066312997348,0.08053890362511053
2020-02-03,34.0,1.2243831900876273e+18,3.7505307855626326,1.4161358811040339,0.13721535739561216,0.03020877565463553,0.8959720452937013,0.07381351733899505
2020-02-04,35.0,1.2247452388169057e+18,3.167902899527984,0.8162508428860418,0.1598621712744437,0.029169251517194877,0.8923981793661497,0.07843290627107215
2020-02-05,36.0,1.2251112279390134e+18,3.6037431429493383,1.4227170054856406,0.16543849628912552,0.0258486608583414,0.893838657631494,0.08030784123910939
2020-02-06,37.0,1.2254361382102044e+18,4.146812080536913,1.1359060402684564,0.15703049496644295,0.021559144295302014,0.9058196308724833,0.07261703020134228
2020-02-08,39.0,1.2262162187896788e+18,4.521623672230652,1.2135811836115327,0.13491251896813353,0.03104628224582701,0.8927867981790591,0.07616729893778451
2020-02-09,40.0,1.2265584940199757e+18,4.122181818181819,0.9512727272727273,0.13050090909090908,0.030254545454545454,0.8980741818181819,0.07167672727272727
2020-02-10,41.0,1.2269232148657513e+18,3.3585471509496836,0.919026991002999,0.17396501166277906,0.023814728423858716,0.888886704431856,0.08729490169943352
2020-02-11,42.0,1.2272827390110336e+18,3.292785994566858,0.7709025052822216,0.1465588590401449,0.025902807123453064,0.8988732266827649,0.07522426803501359
2020-02-12,43.0,1.2276058240684849e+18,3.997986577181208,0.8741610738255033,0.14253412751677852,0.026005704697986576,0.8986489932885906,0.07533926174496644
2020-02-14,45.0,1.228386973667312e+18,4.6940271161597655,1.0256504213997801,0.15108684499816782,0.031586295346280685,0.8916987907658482,0.07671564675705386
2020-02-15,46.0,1.2287326841795054e+18,3.987800228745711,0.9797941288600839,0.14030057186427755,0.02762180709111704,0.9008776210446054,0.0715051467784979
2020-02-16,47.0,1.2291020669085297e+18,2.946285714285714,0.8502857142857143,0.14383001904761905,0.03134780952380952,0.8905207619047619,0.07813333333333333
2020-02-17,48.0,1.2294587373892777e+18,3.4537102473498233,1.9204946996466432,0.15905204946996465,0.027015194346289753,0.8922911660777386,0.08069363957597173
2020-02-18,49.0,1.2298194240120627e+18,3.94226393629124,1.0910125142207054,0.14822335039817974,0.02898179749715586,0.891900739476678,0.07911831626848692
2020-02-19,50.0,1.2301856158301248e+18,3.391720642072656,0.874964798648268,0.17462399324134045,0.02521599549422698,0.8885463249788792,0.08623711630526612
2020-02-20,51.0,1.2305440160943672e+18,3.4581856839121192,0.9518072289156626,0.15724078667611624,0.031225017717930546,0.8860318922749824,0.08273706591070164
2020-02-21,52.0,1.2309012657286715e+18,3.7486408698433005,1.4214902462424048,0.13271266389510714,0.024929645027182604,0.9078599296450273,0.06721042532779022
2020-02-22,53.0,1.231271717069618e+18,4.931606636989073,1.3079724807770134,0.14302707405908538,0.02989882638607851,0.897744637798462,0.07235896398219345
2020-02-23,54.0,1.2316355250594202e+18,2.9427880741337633,1.0282030620467364,0.14625564061240937,0.02888718775181305,0.896158340048348,0.07495769540692988
