date,Day of Year,id,nlikes,nretweets,compound,neg,neu,pos
2019-01-19,19.0,1.0866707107758633e+18,1.6893886156008433,0.6173576950105412,0.11992519325368939,0.03464195361911455,0.897185523541813,0.06816795502459592
2019-01-20,20.0,1.0870434013270865e+18,1.9251461988304093,0.5883040935672514,0.13035142300194932,0.03422846003898636,0.8933430799220273,0.07242456140350878
2019-01-21,21.0,1.087407419330853e+18,2.343672112988092,0.746330656327887,0.12153292716698977,0.03355054001661589,0.8948211021877597,0.0716333425643866
2019-01-22,22.0,1.0877584229591443e+18,2.2382608695652175,0.7342028985507246,0.14030582608695652,0.02903014492753623,0.8963437681159421,0.07462405797101448
2019-01-23,23.0,1.0881240753916042e+18,2.4380321665089877,0.9943235572374646,0.1373305266477452,0.028503941974140648,0.9002557552822453,0.07123746452223273
2019-01-24,24.0,1.0884838004718971e+18,2.0524044389642415,0.6282367447595562,0.1321548088779285,0.03180147965474723,0.8956538224414304,0.07254007398273736
2019-01-25,25.0,1.0888386352146797e+18,3.2135798533630857,0.8444373605355435,0.12258543194134523,0.031155243863563914,0.8999591966847307,0.06888396557220273
2019-01-26,26.0,1.0892075092841398e+18,2.1224825318536786,0.6337854500616523,0.1578064940402795,0.023578709412248253,0.9054245787094123,0.07099219071105631
2019-01-27,27.0,1.0895763306239037e+18,2.243827160493827,0.623015873015873,0.1571510582010582,0.026427248677248678,0.8945114638447972,0.07905996472663139
2019-01-28,28.0,1.089935732840562e+18,2.0781615925058547,0.6612997658079626,0.14141765222482436,0.029480679156908666,0.8979007611241218,0.07261329039812646
2019-01-29,29.0,1.0902986330198582e+18,2.615070729053319,0.6866158868335147,0.1313788628944505,0.03153264417845484,0.895649347116431,0.07281991294885745
2019-01-30,30.0,1.0906751876944429e+18,2.555472076133233,0.9366391184573003,0.12460390683696469,0.02313824192336589,0.9101853243175557,0.06667718507387929
2019-01-31,31.0,1.0910094091851602e+18,2.5094587493431426,0.6518654755648975,0.15979926431949554,0.0217073042564372,0.9018502364687336,0.07644219653179192
2019-02-01,32.0,1.0913799440247924e+18,2.580362361192285,0.8521332554061952,0.12189035651665693,0.028703389830508474,0.9046960841613091,0.06659877264757452
2019-02-02,33.0,1.0917444904390452e+18,3.2857673727238943,0.9821627647714605,0.09624236343366778,0.04427127461910071,0.8907194351542177,0.06500260126347082
2019-02-03,34.0,1.0921139903046061e+18,2.3177299088649543,0.7195526097763049,0.13179743164871582,0.03073612261806131,0.8952634631317317,0.07399420049710026
2019-02-04,35.0,1.0924859169023263e+18,2.4876681614349776,0.898542600896861,0.12589826233183857,0.02233015695067265,0.9166471412556054,0.06101905829596413
2019-02-05,36.0,1.0928435519254988e+18,2.450871851646831,0.6994187655687794,0.11840083033490174,0.028916136174923886,0.9041212288956546,0.06696401882092444
2019-02-06,37.0,1.0932065248227416e+18,2.111691542288557,0.6236318407960199,0.12565410447761194,0.026511442786069653,0.9078509950248757,0.06563482587064676
2019-02-07,38.0,1.0935536929347985e+18,1.9416095455699416,0.5811119573495811,0.11745902513328256,0.02603097232800203,0.9112589489718202,0.06270525514089871
2019-02-08,39.0,1.0939226749911826e+18,2.2519258202567762,0.7631954350927247,0.12753526390870185,0.025600855920114123,0.9066544935805991,0.06774379457917261
2019-02-09,40.0,1.0942814188650486e+18,2.9741309620048506,0.7845594179466451,0.1492124090541633,0.020308407437348425,0.9102352465642684,0.06945270816491511
2019-02-10,41.0,1.0946619009856173e+18,2.0406742396482227,0.5573470135580799,0.15636412605349945,0.021998167827042874,0.9070593624038108,0.07094027116159765
2019-02-11,42.0,1.0950140307611214e+18,1.8974358974358974,0.6269482151835093,0.11885387129210659,0.029595274007038715,0.9017745098039216,0.0686322272498743
2019-02-12,43.0,1.0953794981596082e+18,2.6442174993099643,0.85509246480817,0.16308067899530776,0.027668782776704388,0.893071763731714,0.07925945349158156
2019-02-13,44.0,1.0957341702833178e+18,2.1724294813466787,0.7982256596906279,0.13804008189262967,0.024126251137397633,0.9090944040036396,0.06678161965423111
2019-02-14,45.0,1.0960894715117265e+18,4.061343947553266,0.7298056661203465,0.13133413720440176,0.027499648794193397,0.9023402013579958,0.07015991571060642
2019-02-15,46.0,1.0964608726856919e+18,2.6104260089686098,0.7413116591928252,0.13755695067264573,0.023084360986547085,0.9091485426008968,0.06777298206278026
2019-02-16,47.0,1.0968235051521354e+18,2.2195288494366676,0.7166268350973029,0.12380761351997269,0.029633321952884945,0.9040822806418572,0.06628098327074086
